rank,score,job_id,tab,position,company,title,url,reasons
1,56.68,reco-020926025093,profile,12,Info Edge,Sr. Technical Content Specialist - AI/ML,https://www.naukri.com/job-listings-020926025093,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (python, fastapi, django, ai) | ✓ Matched secondary skills (api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
2,55.64,reco-020926927973,profile,7,Iris Software,Gen AI - Associate Engineer,https://www.naukri.com/job-listings-020926927973,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (python, django, ai, ml) | ✓ Matched secondary skills (api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
3,53.31,reco-020926036168,profile,2,EdgeVerve Systems,Gen AI Engineer,https://www.naukri.com/job-listings-020926036168,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (python, fastapi, ai, generative ai) | ✓ Matched secondary skills (backend, api, rest) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation | ✓ Top feed position (#2)"
4,51.88,reco-020926502122,profile,14,Blue Yonder,"Software Engineer - Python, GenAI",https://www.naukri.com/job-listings-020926502122,"✓ Excellent role relevance for ai, python, genai | ✓ Strong core tech match (python, ai, genai) | ✓ Matched secondary skills (backend, api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
5,51.50,reco-020926501990,profile,19,P99soft,AI/ML Engineer,https://www.naukri.com/job-listings-020926501990,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (ai, artificial intelligence, machine learning, ml) | ✓ Matched secondary skills (backend) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
6,50.29,reco-080726015528,default,37,Purpletalk,Senior AI/ML Engineer,https://www.naukri.com/job-listings-080726015528,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (python, ai, machine learning, ml) | ✓ Matched secondary skills (docker, computer vision, agent) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
7,50.12,reco-020926503214,profile,4,Fospe Software,AI Engineer,https://www.naukri.com/job-listings-020926503214,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, machine learning, ml) | ✓ Matched secondary skills (backend, postgresql) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation | ✓ Top feed position (#4)"
8,49.57,reco-020926502950,profile,6,Civicdatalab,Junior AI Developer,https://www.naukri.com/job-listings-020926502950,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, machine learning, llm, chatbot) | ✓ Matched secondary skills (api, agent) | ✓ Slightly above target experience range | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
9,48.12,reco-020926502837,profile,16,DXC Technology,GenAI Engineer / AI Agent Engineer,https://www.naukri.com/job-listings-020926502837,"✓ Excellent role relevance for ai, genai, agent | ✓ Strong core tech match (python, ai, genai, llm) | ✓ Matched secondary skills (typescript, agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
10,48.02,reco-020926025539,default,49,Sanjivani Edge,Junior AI Engineer,https://www.naukri.com/job-listings-020926025539,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, generative ai, genai) | ✓ Matched secondary skills (aws, vector database, agent) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
11,47.64,reco-020926928154,profile,5,Ecolab Global Services,Associate AI Engineer,https://www.naukri.com/job-listings-020926928154,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai) | ✓ Matched secondary skills (api, vector database) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ High-priority profile recommendation | ✓ Top feed position (#5)"
12,47.52,reco-020926929152,preferences,13,Optum,AI/ML Engineer,https://www.naukri.com/job-listings-020926929152,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (ai, artificial intelligence, ml) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
13,47.38,reco-020926502633,profile,1,Maxridge,AI Engineer,https://www.naukri.com/job-listings-020926502633,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, generative ai, llm) | ✓ Matched secondary skills (agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation | ✓ Top feed position (#1)"
14,47.33,reco-020926032053,default,44,Hexaware Technologies,Generative AI Developer,https://www.naukri.com/job-listings-020926032053,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, artificial intelligence, ml) | ✓ Matched secondary skills (agent) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
15,47.17,reco-020926501936,profile,11,KPIT,GenAI / AI-ML Experts,https://www.naukri.com/job-listings-020926501936,"✓ Excellent role relevance for ai, ml, genai | ✓ Strong core tech match (ai, ml, genai, llm) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
16,46.90,reco-020926503948,you_might_like,35,Objectways Technologies,AI-ML Engineer,https://www.naukri.com/job-listings-020926503948,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (ai, artificial intelligence, machine learning, ml) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
17,45.96,reco-020926500752,you_might_like,27,Anav Webtech,AI / ML Engineer,https://www.naukri.com/job-listings-020926500752,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (ai, artificial intelligence, machine learning, ml) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
18,45.82,reco-020926502001,profile,3,Artpark,AI Engineer,https://www.naukri.com/job-listings-020926502001,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, llm) | ✓ Matched secondary skills (agent) | ✓ Slightly above target experience range | ✓ Posted 1 day ago | ✓ High-priority profile recommendation | ✓ Top feed position (#3)"
19,45.48,reco-020926504503,other,46,Pairsoft Technologies,AI Platform Engineer,https://www.naukri.com/job-listings-020926504503,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, ml, llm) | ✓ Matched secondary skills (api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
20,45.42,reco-020926017698,profile,17,CGI,AI & LLM Platform Engineer,https://www.naukri.com/job-listings-020926017698,"✓ Excellent role relevance for ai, llm | ✓ Strong core tech match (ai, artificial intelligence, llm) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
21,45.40,reco-020926030482,you_might_like,38,Geak Minds,Full Stack/Data Engineer - Cloud FinOps Platform | GeakMinds | Chennai,https://www.naukri.com/job-listings-020926030482,"✓ Excellent role relevance for ai, data engineer | ✓ Strong core tech match (python, fastapi, ai) | ✓ Matched secondary skills (react, typescript, api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
22,45.35,reco-190826028939,default,47,Learningmate Solutions,AI Engineer,https://www.naukri.com/job-listings-190826028939,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, fastapi, ai, generative ai) | ✓ Matched secondary skills (api, agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
23,43.95,reco-020926915993,you_might_like,43,Althi Solutions,AI Generalist,https://www.naukri.com/job-listings-020926915993,"✓ Excellent role relevance for ai | ✓ Strong core tech match (python, ai, artificial intelligence, machine learning) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
24,43.90,reco-020926503038,preferences,34,Ergobite Tech Solutions Pvt Lyd,Python AI / ML Developer,https://www.naukri.com/job-listings-020926503038,"✓ Excellent role relevance for ai, python, ml | ✓ Strong core tech match (python, ai, machine learning, ml) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
25,43.65,reco-020926929146,top_candidate,2,Fujitsu,GenAI - Application Developer - 11313,https://www.naukri.com/job-listings-020926929146,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (ai, genai) | ✓ Matched secondary skills (api, aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Top candidate feed match | ✓ Top feed position (#2)"
26,43.61,reco-020926501604,profile,8,360 Degree Cloud Technologies,AI Agentic Engineer,https://www.naukri.com/job-listings-020926501604,"✓ Excellent role relevance for ai, agent | ✓ Strong core tech match (ai, llm) | ✓ Matched secondary skills (api, agent) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ High-priority profile recommendation"
27,43.23,reco-010926032273,you_might_like,12,Client of Spring HR,Machine Learning Engineer,https://www.naukri.com/job-listings-010926032273,"✓ Excellent role relevance for machine learning | ✓ Strong core tech match (python, ai, machine learning, ml) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
28,43.19,reco-020926927978,top_candidate,1,Fidelity International,AI Test Engineer - Test Lead,https://www.naukri.com/job-listings-020926927978,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, generative ai, rag) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Top candidate feed match | ✓ Top feed position (#1)"
29,43.15,reco-020926504486,you_might_like,29,Deskcode Solution,Full Stack Developer (React + Python),https://www.naukri.com/job-listings-020926504486,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, ai) | ✓ Matched secondary skills (react, backend, api) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
30,42.95,reco-210426045216,preferences,22,Selective Consultants,Sr. AI/ML Engineer,https://www.naukri.com/job-listings-210426045216,"✓ Excellent role relevance for ai, ml | ✓ Strong core tech match (python, ai, artificial intelligence, machine learning) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (9.0 LPA)"
31,42.76,reco-020926016535,default,29,Sonata Software,AWS Gen AI Engineer,https://www.naukri.com/job-listings-020926016535,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (python, ai, artificial intelligence, machine learning) | ✓ Matched secondary skills (aws) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match"
32,42.70,reco-010926035891,you_might_like,25,Magma Hdi General Insurance,Specialist AI Initiatives & Execution,https://www.naukri.com/job-listings-010926035891,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, artificial intelligence, machine learning) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (7.0 LPA)"
33,42.51,reco-020926502102,you_might_like,16,Art Technology And Software,AI Engineer,https://www.naukri.com/job-listings-020926502102,"✓ Excellent role relevance for ai | ✓ Strong core tech match (ai, machine learning) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
34,42.31,reco-010926506727,you_might_like,49,Pinnacle Specialists,Python Developer,https://www.naukri.com/job-listings-010926506727,"✓ Excellent role relevance for python | ✓ Strong core tech match (python, ai) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match"
35,41.86,reco-020926013547,other,41,Roto Pumps,Artificial Intelligence Engineer,https://www.naukri.com/job-listings-020926013547,"✓ Strong core tech match (ai, artificial intelligence, rag) | ✓ Matched secondary skills (api, embeddings, agent) | ✓ Experience range perfectly fits role | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (8.0 LPA)"
36,41.75,reco-020926017847,default,54,MNC Group,SR. GEN Ai Engineer /AI RReserch Engineer /Catalog Imaging / WFO,https://www.naukri.com/job-listings-020926017847,"✓ Excellent role relevance for ai, genai | ✓ Strong core tech match (python, ai, artificial intelligence, machine learning) | ✓ Experience closely aligns with minimum requirement | ✓ Posted 1 day ago | ✓ Recommended feed match | ✓ Disclosed salary (10.0 LPA)"
